Word,Freq,Freq(%)
the,201,4.0264
to,154,3.0849
of,132,2.6442
and,122,2.4439
a,111,2.2236
he,96,1.9231
was,81,1.6226
it,77,1.5425
that,65,1.3021
in,59,1.1819
said,52,1.0417
his,51,1.0216
you,51,1.0216
s,47,0.9415
He,46,0.9215
Arthur,42,0.8413
Ford,40,0.8013
t,39,0.7812
for,37,0.7412
had,34,0.6811
on,34,0.6811
Mr,33,0.6611
at,33,0.6611
him,32,0.641
would,30,0.601
with,30,0.601
I,29,0.5809
Prosser,27,0.5409
The,26,0.5208
about,26,0.5208
be,25,0.5008
as,23,0.4607
out,22,0.4407
one,21,0.4207
all,20,0.4006
Dent,20,0.4006
It,19,0.3806
house,19,0.3806
this,19,0.3806
is,18,0.3606
from,18,0.3606
point,16,0.3205
down,16,0.3205
what,15,0.3005
got,14,0.2804
are,14,0.2804
not,14,0.2804
an,14,0.2804
how,14,0.2804
very,14,0.2804
no,14,0.2804
into,14,0.2804
but,14,0.2804
which,13,0.2604
if,13,0.2604
they,13,0.2604
people,13,0.2604
get,13,0.2604
have,12,0.2404
were,12,0.2404
thought,12,0.2404
just,12,0.2404
then,12,0.2404
bulldozer,12,0.2404
so,12,0.2404
like,12,0.2404
can,12,0.2404
because,11,0.2204
time,11,0.2204
didn,11,0.2204
been,11,0.2204
over,11,0.2204
up,11,0.2204
much,10,0.2003
And,10,0.2003
any,10,0.2003
Oh,10,0.2003
more,10,0.2003
off,10,0.2003
or,10,0.2003
them,10,0.2003
Prefect,10,0.2003
mud,10,0.2003
In,9,0.1803
looked,9,0.1803
himself,9,0.1803
lie,9,0.1803
book,9,0.1803
who,9,0.1803
Earth,9,0.1803
You,9,0.1803
some,9,0.1803
me,9,0.1803
my,9,0.1803
But,9,0.1803
we,9,0.1803
come,9,0.1803
Yes,8,0.1603
great,8,0.1603
most,8,0.1603
front,8,0.1603
made,8,0.1603
drink,8,0.1603
don,8,0.1603
knew,8,0.1603
ve,8,0.1603
Guide,8,0.1603
What,8,0.1603
only,8,0.1603
will,8,0.1603
round,8,0.1603
A,7,0.1402
m,7,0.1402
often,7,0.1402
Galaxy,7,0.1402
moment,7,0.1402
bypass,7,0.1402
also,7,0.1402
going,7,0.1402
see,7,0.1402
by,7,0.1402
talk,7,0.1402
could,7,0.1402
than,7,0.1402
something,7,0.1402
flying,7,0.1402
again,7,0.1402
your,6,0.1202
d,6,0.1202
its,6,0.1202
there,6,0.1202
years,6,0.1202
ever,6,0.1202
other,6,0.1202
Hiker,6,0.1202
says,6,0.1202
wanted,6,0.1202
So,6,0.1202
has,6,0.1202
away,6,0.1202
nervous,6,0.1202
pub,6,0.1202
Hitch,6,0.1202
tell,6,0.1202
day,6,0.1202
water,6,0.1202
why,6,0.1202
do,6,0.1202
For,6,0.1202
stared,6,0.1202
back,6,0.1202
Janx,6,0.1202
fact,6,0.1202
story,6,0.1202
remarkable,6,0.1202
know,6,0.1202
here,6,0.1202
these,5,0.1002
B,5,0.1002
God,5,0.1002
barman,5,0.1002
need,5,0.1002
slightly,5,0.1002
That,5,0.1002
worried,5,0.1002
This,5,0.1002
green,5,0.1002
yes,5,0.1002
way,5,0.1002
window,5,0.1002
small,5,0.1002
game,5,0.1002
say,5,0.1002
Spirit,5,0.1002
trying,5,0.1002
eyes,5,0.1002
mind,5,0.1002
never,5,0.1002
Well,5,0.1002
go,5,0.1002
soon,5,0.1002
usually,5,0.1002
man,5,0.1002
seemed,5,0.1002
find,5,0.1002
head,5,0.1002
heard,5,0.1002
exactly,5,0.1002
though,5,0.1002
life,5,0.1002
D,4,0.0801
well,4,0.0801
called,4,0.0801
even,4,0.0801
matter,4,0.0801
asked,4,0.0801
always,4,0.0801
Groom,4,0.0801
worked,4,0.0801
ape,4,0.0801
began,4,0.0801
want,4,0.0801
probably,4,0.0801
two,4,0.0801
through,4,0.0801
wasn,4,0.0801
Betelgeuse,4,0.0801
suddenly,4,0.0801
shadow,4,0.0801
when,4,0.0801
stomped,4,0.0801
display,4,0.0801
important,4,0.0801
built,4,0.0801
looking,4,0.0801
bottle,4,0.0801
did,4,0.0801
Hello,4,0.0801
planet,4,0.0801
take,4,0.0801
little,4,0.0801
saucers,4,0.0801
lying,4,0.0801
sky,4,0.0801
being,4,0.0801
ll,4,0.0801
terrible,4,0.0801
sort,4,0.0801
friends,4,0.0801
stood,4,0.0801
re,4,0.0801
many,4,0.0801
actually,4,0.0801
knock,4,0.0801
work,4,0.0801
itself,4,0.0801
hadn,4,0.0801
first,4,0.0801
Horse,4,0.0801
telling,3,0.0601
role,3,0.0601
Ah,3,0.0601
yellow,3,0.0601
after,3,0.0601
straight,3,0.0601
Pan,3,0.0601
moved,3,0.0601
good,3,0.0601
making,3,0.0601
gone,3,0.0601
end,3,0.0601
Gargle,3,0.0601
bulldozers,3,0.0601
tried,3,0.0601
nothing,3,0.0601
Galactic,3,0.0601
local,3,0.0601
particularly,3,0.0601
whether,3,0.0601
quite,3,0.0601
new,3,0.0601
lay,3,0.0601
around,3,0.0601
catastrophe,3,0.0601
fifteen,3,0.0601
anywhere,3,0.0601
let,3,0.0601
Then,3,0.0601
night,3,0.0601
must,3,0.0601
thirty,3,0.0601
wandered,3,0.0601
found,3,0.0601
think,3,0.0601
They,3,0.0601
ask,3,0.0601
Galactica,3,0.0601
those,3,0.0601
glass,3,0.0601
assume,3,0.0601
anything,3,0.0601
now,3,0.0601
windows,3,0.0601
three,3,0.0601
put,3,0.0601
her,3,0.0601
His,3,0.0601
before,3,0.0601
used,3,0.0601
drinking,3,0.0601
kind,3,0.0601
